Infected_16h_1	Infected_16h_2	Infected_16h_3	Infected_16h_4	Infected_24h_1	Infected_24h_2	Infected_24h_3	Infected_24h_4	Infected_8h_1	Infected_8h_2	Infected_8h_3	Infected_8h_4	Infected_Total_24h_1	Infected_Total_24h_2	Infected_Total_8h_1	Infected_Total_8h_2	Mock_16h_1	Mock_16h_2	Mock_16h_3	Mock_16h_4	Mock_24h_1	Mock_24h_2	Mock_24h_3	Mock_24h_4	Mock_8h_1	Mock_8h_2	Mock_8h_3	Mock_8h_4	Mock_Total_24h_1	Mock_Total_24h_2	Mock_Total_8h_1	Mock_Total_8h_2	UniProt	Protein
		18.9652116296072	20.1760346775029			18.6918239271174	19.1957291360631			18.3930437365678	19.3811722007477		19.5049257600562		19.7868565955272			18.5432091471694	19.4552248419364			19.4298333275126	19.9793140715126			18.5808337477932	19.3142977003255		18.4767833386217		18.7175032641045	A0A0B4J1Y8	LV949_HUMAN
24.2846513246805	24.2359666238292	24.4999468003128	24.5430403182572	24.1616223965589	24.1498469772178	23.9962859781967	23.834395337957	24.285090947841	24.595782932499	24.0410569954925	23.9135249733103	24.298895218993	24.2699875306674	24.4834370530452	24.2930905240186	24.0314465602853	24.1050012140793	24.0139473741999	23.7452536053673	24.8736486975471	24.8449858386849	24.8911421286434	24.5377865848693	24.3369444650599	23.8518439253085	24.0193322939824	23.6711119050632	24.2230817439225	24.1993083737175	24.3055317541771	24.2589459621764	A0A0B4J2D5	GAL3B_HUMAN
20.5184380138384	20.4576679277321	20.6668396698425	20.9776040696839	20.281325076769	20.4388080424485	20.1762251927767	20.2667707821736	20.4952687094799	19.8271938218576	20.0157097984791	19.4927130406425	20.5245469086644	20.4707490635103	20.6296123397166	20.4884924654478	20.3043830420476	20.4492327223353	20.2841387182893	20.2835550855391	21.063109247461	21.0976431354316	20.2840626852552	20.8780149715694	20.5954768660171	20.2482075594654	19.8873328009504	19.8035596805343	20.6406897865249	20.5451629356811	20.3843549310536	20.3835917884479	A0A0U1RRE5	NBDY_HUMAN
12.2122805423568				12.1926719345032	11.4360972771335							11.6211864922218		11.6289785917423		11.7849455967338					11.39613914793							12.1852904917954				A0A1B0GTY4	TEX50_HUMAN
16.3421465647711	16.2032724782425			16.310506457081	16.3223563314144			16.4215939667298	16.8487922408118			16.5422321998786		16.5273841466839		16.1561814600575	16.3571550576813			17.127869417373	17.0392736839296			16.4155539601571	15.9836621096374			16.6631608525483		16.5536574900259		A0A1B0GVY4	SIM31_HUMAN
18.1863163303988	18.2134350019003			18.3609513912373	18.3717794089337			18.2805586521279	18.5221088127374			17.6263505797644		17.7189665291113		17.9394275291597	18.1142373767775			18.7892997356982	18.9273571165814			18.223558774386	17.8846054923987			17.7048454936568		17.5447887173559		A0A1B0GVZ2	F240B_HUMAN
		17.6123141946282	17.9408381650759			17.1683502059579	17.4212937415992			16.8697235961042	17.2627670971008		15.6912890619004		15.9091817306294			17.1345276959884	17.407417317915			17.8854478764086	17.9935184189313			16.9100872093591	17.2025623523886		15.9489183584666		15.5591374580055	A0A1B0GVZ9	TM269_HUMAN
20.303398883968	20.3054677112183	18.3057647921119	19.0775383810903	20.0028246140978	20.1097505944167	17.5882751438794	18.137142252414	20.1791058645155	20.6476103914824	17.6985669932842	18.14088567572	20.4265306873618	18.6152241021563	20.6389350261356	18.7586548601874	20.0241776865784	20.1595755644218	18.0317039484927	18.5054438799859	20.8591166943274	20.8875068043349	19.2562353683332	19.0606958789204	20.2967296019584	19.818269256314	18.1347248619834	18.3598408667028	20.2421178771853	18.1191941424718	20.0949178847648	18.2920786195354	A0A1W2PQL4	ZN722_HUMAN
19.9595928032288	20.1019249041577	20.0741404041303	20.5944652756532	19.7035913388688	19.9262142831103	19.3878074938894	19.408185071721	20.1633895314513	20.4032927841227	19.793097864742	19.7238267846863	19.9292136416239	19.5894703850633	20.2153816406858	20.0051556634509	19.8421540381287	20.0975820832746	19.7764857079217	19.6317893008123	20.7040149451435	20.7882673005298	20.3681494970554	20.2662614422402	20.0473019688804	19.5099485820465	19.4528285873889	19.4505334213943	19.9336283631654	19.6864483257975	19.9912380903989	19.7288769144407	A0A2R8Y4L2	RA1L3_HUMAN
25.3484561395671	25.4200958746855	25.4840367381026	25.7571796572671	25.2330297521654	25.2790579513225	24.9760444705606	24.970201483434	25.2824861762986	25.7336141742064	24.9578109298755	25.0085273391658	25.4862174711657	25.1923991359781	25.6344021188069	25.333921309739	25.1252746831884	25.3419102899874	25.0932096736449	25.0889847839176	25.8969574584329	26.0224723245286	25.8557285439103	25.6066196908865	25.332771890309	24.9680245548988	24.9600707477996	24.8539961657409	25.2810618924527	25.0469125980649	25.3378257379104	25.0829300838962	A0AVT1	UBA6_HUMAN
